,image,label,scene,split
2023-03-02_garching-0047_1677754608427129677,train/image-2023-03-02_garching-0047_1677754608427129677.png,train/label-2023-03-02_garching-0047_1677754608427129677.png,2023-03-02_garching,train
2023-03-02_garching-0293_1677756562624048666,val/image-2023-03-02_garching-0293_1677756562624048666.png,val/label-2023-03-02_garching-0293_1677756562624048666.png,2023-03-02_garching,val
2023-03-02_garching-0236_1677756158417031521,train/image-2023-03-02_garching-0236_1677756158417031521.png,train/label-2023-03-02_garching-0236_1677756158417031521.png,2023-03-02_garching,train
2023-03-02_garching-0001_1677754160226675603,train/image-2023-03-02_garching-0001_1677754160226675603.png,train/label-2023-03-02_garching-0001_1677754160226675603.png,2023-03-02_garching,train
2023-03-02_garching-0057_1677754683395589252,train/image-2023-03-02_garching-0057_1677754683395589252.png,train/label-2023-03-02_garching-0057_1677754683395589252.png,2023-03-02_garching,train
2023-03-02_garching-0146_1677755356328292954,train/image-2023-03-02_garching-0146_1677755356328292954.png,train/label-2023-03-02_garching-0146_1677755356328292954.png,2023-03-02_garching,train
2023-03-02_garching-0222_1677755988518035660,train/image-2023-03-02_garching-0222_1677755988518035660.png,train/label-2023-03-02_garching-0222_1677755988518035660.png,2023-03-02_garching,train
2023-03-02_garching-0382_1677757166638935365,train/image-2023-03-02_garching-0382_1677757166638935365.png,train/label-2023-03-02_garching-0382_1677757166638935365.png,2023-03-02_garching,train
2023-03-02_garching-0192_1677755850428551604,train/image-2023-03-02_garching-0192_1677755850428551604.png,train/label-2023-03-02_garching-0192_1677755850428551604.png,2023-03-02_garching,train
2023-03-02_garching-0141_1677755331702294671,train/image-2023-03-02_garching-0141_1677755331702294671.png,train/label-2023-03-02_garching-0141_1677755331702294671.png,2023-03-02_garching,train
2023-03-02_garching-0263_1677756330908350420,val/image-2023-03-02_garching-0263_1677756330908350420.png,val/label-2023-03-02_garching-0263_1677756330908350420.png,2023-03-02_garching,val
2023-03-02_garching-0315_1677756692342334049,val/image-2023-03-02_garching-0315_1677756692342334049.png,val/label-2023-03-02_garching-0315_1677756692342334049.png,2023-03-02_garching,val
2023-03-02_garching-0286_1677756490736320849,val/image-2023-03-02_garching-0286_1677756490736320849.png,val/label-2023-03-02_garching-0286_1677756490736320849.png,2023-03-02_garching,val
2023-03-02_garching-0252_1677756248949653703,val/image-2023-03-02_garching-0252_1677756248949653703.png,val/label-2023-03-02_garching-0252_1677756248949653703.png,2023-03-02_garching,val
2023-03-02_garching-0325_1677756762834880616,val/image-2023-03-02_garching-0325_1677756762834880616.png,val/label-2023-03-02_garching-0325_1677756762834880616.png,2023-03-02_garching,val
2023-03-02_garching-0365_1677757031239688557,train/image-2023-03-02_garching-0365_1677757031239688557.png,train/label-2023-03-02_garching-0365_1677757031239688557.png,2023-03-02_garching,train
2023-03-02_garching-0100_1677754916078506244,train/image-2023-03-02_garching-0100_1677754916078506244.png,train/label-2023-03-02_garching-0100_1677754916078506244.png,2023-03-02_garching,train
2023-03-02_garching-0267_1677756355735121402,val/image-2023-03-02_garching-0267_1677756355735121402.png,val/label-2023-03-02_garching-0267_1677756355735121402.png,2023-03-02_garching,val
2023-03-02_garching-0167_1677755683133820065,train/image-2023-03-02_garching-0167_1677755683133820065.png,train/label-2023-03-02_garching-0167_1677755683133820065.png,2023-03-02_garching,train
2023-03-02_garching-0142_1677755336188961295,train/image-2023-03-02_garching-0142_1677755336188961295.png,train/label-2023-03-02_garching-0142_1677755336188961295.png,2023-03-02_garching,train
2023-03-02_garching-0352_1677756937018785330,val/image-2023-03-02_garching-0352_1677756937018785330.png,val/label-2023-03-02_garching-0352_1677756937018785330.png,2023-03-02_garching,val
2023-03-02_garching-0334_1677756818470057217,val/image-2023-03-02_garching-0334_1677756818470057217.png,val/label-2023-03-02_garching-0334_1677756818470057217.png,2023-03-02_garching,val
2023-03-02_garching-0241_1677756182645491997,val/image-2023-03-02_garching-0241_1677756182645491997.png,val/label-2023-03-02_garching-0241_1677756182645491997.png,2023-03-02_garching,val
2023-03-02_garching-0084_1677754834729742221,train/image-2023-03-02_garching-0084_1677754834729742221.png,train/label-2023-03-02_garching-0084_1677754834729742221.png,2023-03-02_garching,train
2023-03-02_garching-0096_1677754900826750448,train/image-2023-03-02_garching-0096_1677754900826750448.png,train/label-2023-03-02_garching-0096_1677754900826750448.png,2023-03-02_garching,train
2023-03-02_garching-0249_1677756235988207873,val/image-2023-03-02_garching-0249_1677756235988207873.png,val/label-2023-03-02_garching-0249_1677756235988207873.png,2023-03-02_garching,val
2023-03-02_garching-0148_1677755370783784884,train/image-2023-03-02_garching-0148_1677755370783784884.png,train/label-2023-03-02_garching-0148_1677755370783784884.png,2023-03-02_garching,train
2023-03-02_garching-0082_1677754807314394066,train/image-2023-03-02_garching-0082_1677754807314394066.png,train/label-2023-03-02_garching-0082_1677754807314394066.png,2023-03-02_garching,train
2023-03-02_garching-0178_1677755767079909886,train/image-2023-03-02_garching-0178_1677755767079909886.png,train/label-2023-03-02_garching-0178_1677755767079909886.png,2023-03-02_garching,train
2023-03-02_garching-0092_1677754886071488656,train/image-2023-03-02_garching-0092_1677754886071488656.png,train/label-2023-03-02_garching-0092_1677754886071488656.png,2023-03-02_garching,train
2023-03-02_garching-0210_1677755943551570464,train/image-2023-03-02_garching-0210_1677755943551570464.png,train/label-2023-03-02_garching-0210_1677755943551570464.png,2023-03-02_garching,train
2023-03-02_garching-0019_1677754341358845459,train/image-2023-03-02_garching-0019_1677754341358845459.png,train/label-2023-03-02_garching-0019_1677754341358845459.png,2023-03-02_garching,train
2023-03-02_garching-0343_1677756875999519088,val/image-2023-03-02_garching-0343_1677756875999519088.png,val/label-2023-03-02_garching-0343_1677756875999519088.png,2023-03-02_garching,val
2023-03-02_garching-0235_1677756131496381736,train/image-2023-03-02_garching-0235_1677756131496381736.png,train/label-2023-03-02_garching-0235_1677756131496381736.png,2023-03-02_garching,train
2023-03-02_garching-0161_1677755665886048290,train/image-2023-03-02_garching-0161_1677755665886048290.png,train/label-2023-03-02_garching-0161_1677755665886048290.png,2023-03-02_garching,train
2023-03-02_garching-0038_1677754482616988860,train/image-2023-03-02_garching-0038_1677754482616988860.png,train/label-2023-03-02_garching-0038_1677754482616988860.png,2023-03-02_garching,train
2023-03-02_garching-0390_1677757218785030900,train/image-2023-03-02_garching-0390_1677757218785030900.png,train/label-2023-03-02_garching-0390_1677757218785030900.png,2023-03-02_garching,train
2023-03-02_garching-0321_1677756753961418182,val/image-2023-03-02_garching-0321_1677756753961418182.png,val/label-2023-03-02_garching-0321_1677756753961418182.png,2023-03-02_garching,val
2023-03-02_garching-0004_1677754209970541503,train/image-2023-03-02_garching-0004_1677754209970541503.png,train/label-2023-03-02_garching-0004_1677754209970541503.png,2023-03-02_garching,train
2023-03-02_garching-0217_1677755964888227419,train/image-2023-03-02_garching-0217_1677755964888227419.png,train/label-2023-03-02_garching-0217_1677755964888227419.png,2023-03-02_garching,train
2023-03-02_garching-0387_1677757194656014955,train/image-2023-03-02_garching-0387_1677757194656014955.png,train/label-2023-03-02_garching-0387_1677757194656014955.png,2023-03-02_garching,train
2023-03-02_garching-0052_1677754648104507264,train/image-2023-03-02_garching-0052_1677754648104507264.png,train/label-2023-03-02_garching-0052_1677754648104507264.png,2023-03-02_garching,train
2023-03-02_garching-0111_1677754990350982103,train/image-2023-03-02_garching-0111_1677754990350982103.png,train/label-2023-03-02_garching-0111_1677754990350982103.png,2023-03-02_garching,train
2023-03-02_garching-0144_1677755350045886090,train/image-2023-03-02_garching-0144_1677755350045886090.png,train/label-2023-03-02_garching-0144_1677755350045886090.png,2023-03-02_garching,train
2023-03-02_garching-0118_1677755045879999115,train/image-2023-03-02_garching-0118_1677755045879999115.png,train/label-2023-03-02_garching-0118_1677755045879999115.png,2023-03-02_garching,train
2023-03-02_garching-0156_1677755438378520277,train/image-2023-03-02_garching-0156_1677755438378520277.png,train/label-2023-03-02_garching-0156_1677755438378520277.png,2023-03-02_garching,train
2023-03-02_garching-0189_1677755832283524132,train/image-2023-03-02_garching-0189_1677755832283524132.png,train/label-2023-03-02_garching-0189_1677755832283524132.png,2023-03-02_garching,train
2023-03-02_garching-0319_1677756727040266213,val/image-2023-03-02_garching-0319_1677756727040266213.png,val/label-2023-03-02_garching-0319_1677756727040266213.png,2023-03-02_garching,val
2023-03-02_garching-0125_1677755075089602222,train/image-2023-03-02_garching-0125_1677755075089602222.png,train/label-2023-03-02_garching-0125_1677755075089602222.png,2023-03-02_garching,train
2023-03-02_garching-0091_1677754883080921509,train/image-2023-03-02_garching-0091_1677754883080921509.png,train/label-2023-03-02_garching-0091_1677754883080921509.png,2023-03-02_garching,train
2023-03-02_garching-0196_1677755872762607819,train/image-2023-03-02_garching-0196_1677755872762607819.png,train/label-2023-03-02_garching-0196_1677755872762607819.png,2023-03-02_garching,train
2023-03-02_garching-0022_1677754359900736417,train/image-2023-03-02_garching-0022_1677754359900736417.png,train/label-2023-03-02_garching-0022_1677754359900736417.png,2023-03-02_garching,train
2023-03-02_garching-0037_1677754473644332479,train/image-2023-03-02_garching-0037_1677754473644332479.png,train/label-2023-03-02_garching-0037_1677754473644332479.png,2023-03-02_garching,train
2023-03-02_garching-0152_1677755412756529214,train/image-2023-03-02_garching-0152_1677755412756529214.png,train/label-2023-03-02_garching-0152_1677755412756529214.png,2023-03-02_garching,train
2023-03-02_garching-0060_1677754699346420230,train/image-2023-03-02_garching-0060_1677754699346420230.png,train/label-2023-03-02_garching-0060_1677754699346420230.png,2023-03-02_garching,train
2023-03-02_garching-0307_1677756650265876637,val/image-2023-03-02_garching-0307_1677756650265876637.png,val/label-2023-03-02_garching-0307_1677756650265876637.png,2023-03-02_garching,val
2023-03-02_garching-0379_1677757152779726190,train/image-2023-03-02_garching-0379_1677757152779726190.png,train/label-2023-03-02_garching-0379_1677757152779726190.png,2023-03-02_garching,train
2023-03-02_garching-0344_1677756878991089251,val/image-2023-03-02_garching-0344_1677756878991089251.png,val/label-2023-03-02_garching-0344_1677756878991089251.png,2023-03-02_garching,val
2023-03-02_garching-0154_1677755433991867663,train/image-2023-03-02_garching-0154_1677755433991867663.png,train/label-2023-03-02_garching-0154_1677755433991867663.png,2023-03-02_garching,train
2023-03-02_garching-0331_1677756782377351399,val/image-2023-03-02_garching-0331_1677756782377351399.png,val/label-2023-03-02_garching-0331_1677756782377351399.png,2023-03-02_garching,val
2023-03-02_garching-0304_1677756627233990842,val/image-2023-03-02_garching-0304_1677756627233990842.png,val/label-2023-03-02_garching-0304_1677756627233990842.png,2023-03-02_garching,val
2023-03-02_garching-0131_1677755128924146067,train/image-2023-03-02_garching-0131_1677755128924146067.png,train/label-2023-03-02_garching-0131_1677755128924146067.png,2023-03-02_garching,train
2023-03-02_garching-0089_1677754872613209618,train/image-2023-03-02_garching-0089_1677754872613209618.png,train/label-2023-03-02_garching-0089_1677754872613209618.png,2023-03-02_garching,train
2023-03-02_garching-0124_1677755066715645203,train/image-2023-03-02_garching-0124_1677755066715645203.png,train/label-2023-03-02_garching-0124_1677755066715645203.png,2023-03-02_garching,train
2023-03-02_garching-0053_1677754653986258320,train/image-2023-03-02_garching-0053_1677754653986258320.png,train/label-2023-03-02_garching-0053_1677754653986258320.png,2023-03-02_garching,train
2023-03-02_garching-0219_1677755974260628581,train/image-2023-03-02_garching-0219_1677755974260628581.png,train/label-2023-03-02_garching-0219_1677755974260628581.png,2023-03-02_garching,train
2023-03-02_garching-0391_1677757221477414856,train/image-2023-03-02_garching-0391_1677757221477414856.png,train/label-2023-03-02_garching-0391_1677757221477414856.png,2023-03-02_garching,train
2023-03-02_garching-0320_1677756746981495963,val/image-2023-03-02_garching-0320_1677756746981495963.png,val/label-2023-03-02_garching-0320_1677756746981495963.png,2023-03-02_garching,val
2023-03-02_garching-0323_1677756759544827132,val/image-2023-03-02_garching-0323_1677756759544827132.png,val/label-2023-03-02_garching-0323_1677756759544827132.png,2023-03-02_garching,val
2023-03-02_garching-0234_1677756113948683406,train/image-2023-03-02_garching-0234_1677756113948683406.png,train/label-2023-03-02_garching-0234_1677756113948683406.png,2023-03-02_garching,train
2023-03-02_garching-0058_1677754688580151350,train/image-2023-03-02_garching-0058_1677754688580151350.png,train/label-2023-03-02_garching-0058_1677754688580151350.png,2023-03-02_garching,train
2023-03-02_garching-0374_1677757096844835318,train/image-2023-03-02_garching-0374_1677757096844835318.png,train/label-2023-03-02_garching-0374_1677757096844835318.png,2023-03-02_garching,train
2023-03-02_garching-0134_1677755147366985797,train/image-2023-03-02_garching-0134_1677755147366985797.png,train/label-2023-03-02_garching-0134_1677755147366985797.png,2023-03-02_garching,train
2023-03-02_garching-0128_1677755099115986978,train/image-2023-03-02_garching-0128_1677755099115986978.png,train/label-2023-03-02_garching-0128_1677755099115986978.png,2023-03-02_garching,train
2023-03-02_garching-0168_1677755686324101709,train/image-2023-03-02_garching-0168_1677755686324101709.png,train/label-2023-03-02_garching-0168_1677755686324101709.png,2023-03-02_garching,train
2023-03-02_garching-0336_1677756832429638820,val/image-2023-03-02_garching-0336_1677756832429638820.png,val/label-2023-03-02_garching-0336_1677756832429638820.png,2023-03-02_garching,val
2023-03-02_garching-0204_1677755905365211629,train/image-2023-03-02_garching-0204_1677755905365211629.png,train/label-2023-03-02_garching-0204_1677755905365211629.png,2023-03-02_garching,train
2023-03-02_garching-0329_1677756775700356943,val/image-2023-03-02_garching-0329_1677756775700356943.png,val/label-2023-03-02_garching-0329_1677756775700356943.png,2023-03-02_garching,val
2023-03-02_garching-0214_1677755957808975795,train/image-2023-03-02_garching-0214_1677755957808975795.png,train/label-2023-03-02_garching-0214_1677755957808975795.png,2023-03-02_garching,train
2023-03-02_garching-0099_1677754912988827155,train/image-2023-03-02_garching-0099_1677754912988827155.png,train/label-2023-03-02_garching-0099_1677754912988827155.png,2023-03-02_garching,train
2023-03-02_garching-0371_1677757081590629302,train/image-2023-03-02_garching-0371_1677757081590629302.png,train/label-2023-03-02_garching-0371_1677757081590629302.png,2023-03-02_garching,train
2023-03-02_garching-0017_1677754317432896760,train/image-2023-03-02_garching-0017_1677754317432896760.png,train/label-2023-03-02_garching-0017_1677754317432896760.png,2023-03-02_garching,train
2023-03-02_garching-0173_1677755728196842542,train/image-2023-03-02_garching-0173_1677755728196842542.png,train/label-2023-03-02_garching-0173_1677755728196842542.png,2023-03-02_garching,train
2023-03-02_garching-0310_1677756663726315795,val/image-2023-03-02_garching-0310_1677756663726315795.png,val/label-2023-03-02_garching-0310_1677756663726315795.png,2023-03-02_garching,val
2023-03-02_garching-0385_1677757182392593873,train/image-2023-03-02_garching-0385_1677757182392593873.png,train/label-2023-03-02_garching-0385_1677757182392593873.png,2023-03-02_garching,train
2023-03-02_garching-0026_1677754389508115915,train/image-2023-03-02_garching-0026_1677754389508115915.png,train/label-2023-03-02_garching-0026_1677754389508115915.png,2023-03-02_garching,train
2023-03-02_garching-0298_1677756577779547278,val/image-2023-03-02_garching-0298_1677756577779547278.png,val/label-2023-03-02_garching-0298_1677756577779547278.png,2023-03-02_garching,val
2023-03-02_garching-0276_1677756421640178381,val/image-2023-03-02_garching-0276_1677756421640178381.png,val/label-2023-03-02_garching-0276_1677756421640178381.png,2023-03-02_garching,val
2023-03-02_garching-0303_1677756620553756791,val/image-2023-03-02_garching-0303_1677756620553756791.png,val/label-2023-03-02_garching-0303_1677756620553756791.png,2023-03-02_garching,val
2023-03-02_garching-0376_1677757117683223809,train/image-2023-03-02_garching-0376_1677757117683223809.png,train/label-2023-03-02_garching-0376_1677757117683223809.png,2023-03-02_garching,train
2023-03-02_garching-0309_1677756662230678646,val/image-2023-03-02_garching-0309_1677756662230678646.png,val/label-2023-03-02_garching-0309_1677756662230678646.png,2023-03-02_garching,val
2023-03-02_garching-0028_1677754401072042724,train/image-2023-03-02_garching-0028_1677754401072042724.png,train/label-2023-03-02_garching-0028_1677754401072042724.png,2023-03-02_garching,train
2023-03-02_garching-0006_1677754224723523857,train/image-2023-03-02_garching-0006_1677754224723523857.png,train/label-2023-03-02_garching-0006_1677754224723523857.png,2023-03-02_garching,train
2023-03-02_garching-0035_1677754469258520863,train/image-2023-03-02_garching-0035_1677754469258520863.png,train/label-2023-03-02_garching-0035_1677754469258520863.png,2023-03-02_garching,train
2023-03-02_garching-0051_1677754643120055489,train/image-2023-03-02_garching-0051_1677754643120055489.png,train/label-2023-03-02_garching-0051_1677754643120055489.png,2023-03-02_garching,train
2023-03-02_garching-0016_1677754306567314769,train/image-2023-03-02_garching-0016_1677754306567314769.png,train/label-2023-03-02_garching-0016_1677754306567314769.png,2023-03-02_garching,train
2023-03-02_garching-0238_1677756165596092086,train/image-2023-03-02_garching-0238_1677756165596092086.png,train/label-2023-03-02_garching-0238_1677756165596092086.png,2023-03-02_garching,train
2023-03-02_garching-0328_1677756771708255847,val/image-2023-03-02_garching-0328_1677756771708255847.png,val/label-2023-03-02_garching-0328_1677756771708255847.png,2023-03-02_garching,val
2023-03-02_garching-0014_1677754284236809984,train/image-2023-03-02_garching-0014_1677754284236809984.png,train/label-2023-03-02_garching-0014_1677754284236809984.png,2023-03-02_garching,train
2023-03-02_garching-0200_1677755887717413572,train/image-2023-03-02_garching-0200_1677755887717413572.png,train/label-2023-03-02_garching-0200_1677755887717413572.png,2023-03-02_garching,train
2023-03-02_garching-0244_1677756210563432287,val/image-2023-03-02_garching-0244_1677756210563432287.png,val/label-2023-03-02_garching-0244_1677756210563432287.png,2023-03-02_garching,val
2023-03-02_garching-0116_1677755034614395370,train/image-2023-03-02_garching-0116_1677755034614395370.png,train/label-2023-03-02_garching-0116_1677755034614395370.png,2023-03-02_garching,train
2023-03-02_garching-0075_1677754784384745403,train/image-2023-03-02_garching-0075_1677754784384745403.png,train/label-2023-03-02_garching-0075_1677754784384745403.png,2023-03-02_garching,train
2023-03-02_garching-0250_1677756240774233819,val/image-2023-03-02_garching-0250_1677756240774233819.png,val/label-2023-03-02_garching-0250_1677756240774233819.png,2023-03-02_garching,val
2023-03-02_garching-0157_1677755448249013374,train/image-2023-03-02_garching-0157_1677755448249013374.png,train/label-2023-03-02_garching-0157_1677755448249013374.png,2023-03-02_garching,train
2023-03-02_garching-0296_1677756572495809337,val/image-2023-03-02_garching-0296_1677756572495809337.png,val/label-2023-03-02_garching-0296_1677756572495809337.png,2023-03-02_garching,val
2023-03-02_garching-0229_1677756014841096394,train/image-2023-03-02_garching-0229_1677756014841096394.png,train/label-2023-03-02_garching-0229_1677756014841096394.png,2023-03-02_garching,train
2023-03-02_garching-0079_1677754797145698534,train/image-2023-03-02_garching-0079_1677754797145698534.png,train/label-2023-03-02_garching-0079_1677754797145698534.png,2023-03-02_garching,train
2023-03-02_garching-0195_1677755870569378041,train/image-2023-03-02_garching-0195_1677755870569378041.png,train/label-2023-03-02_garching-0195_1677755870569378041.png,2023-03-02_garching,train
2023-03-02_garching-0188_1677755829193064636,train/image-2023-03-02_garching-0188_1677755829193064636.png,train/label-2023-03-02_garching-0188_1677755829193064636.png,2023-03-02_garching,train
2023-03-02_garching-0102_1677754937214416005,train/image-2023-03-02_garching-0102_1677754937214416005.png,train/label-2023-03-02_garching-0102_1677754937214416005.png,2023-03-02_garching,train
2023-03-02_garching-0378_1677757128849885928,train/image-2023-03-02_garching-0378_1677757128849885928.png,train/label-2023-03-02_garching-0378_1677757128849885928.png,2023-03-02_garching,train
2023-03-02_garching-0294_1677756568009162808,val/image-2023-03-02_garching-0294_1677756568009162808.png,val/label-2023-03-02_garching-0294_1677756568009162808.png,2023-03-02_garching,val
2023-03-02_garching-0275_1677756415159291614,val/image-2023-03-02_garching-0275_1677756415159291614.png,val/label-2023-03-02_garching-0275_1677756415159291614.png,2023-03-02_garching,val
2023-03-02_garching-0231_1677756097596675890,train/image-2023-03-02_garching-0231_1677756097596675890.png,train/label-2023-03-02_garching-0231_1677756097596675890.png,2023-03-02_garching,train
2023-03-02_garching-0228_1677756011550177493,train/image-2023-03-02_garching-0228_1677756011550177493.png,train/label-2023-03-02_garching-0228_1677756011550177493.png,2023-03-02_garching,train
2023-03-02_garching-0073_1677754775511906663,train/image-2023-03-02_garching-0073_1677754775511906663.png,train/label-2023-03-02_garching-0073_1677754775511906663.png,2023-03-02_garching,train
2023-03-02_garching-0364_1677757024160657563,train/image-2023-03-02_garching-0364_1677757024160657563.png,train/label-2023-03-02_garching-0364_1677757024160657563.png,2023-03-02_garching,train
2023-03-02_garching-0117_1677755039897729400,train/image-2023-03-02_garching-0117_1677755039897729400.png,train/label-2023-03-02_garching-0117_1677755039897729400.png,2023-03-02_garching,train
2023-03-02_garching-0165_1677755678248541101,train/image-2023-03-02_garching-0165_1677755678248541101.png,train/label-2023-03-02_garching-0165_1677755678248541101.png,2023-03-02_garching,train
2023-03-02_garching-0248_1677756234293504430,val/image-2023-03-02_garching-0248_1677756234293504430.png,val/label-2023-03-02_garching-0248_1677756234293504430.png,2023-03-02_garching,val
2023-03-02_garching-0264_1677756333799551512,val/image-2023-03-02_garching-0264_1677756333799551512.png,val/label-2023-03-02_garching-0264_1677756333799551512.png,2023-03-02_garching,val
2023-03-02_garching-0277_1677756428819032886,val/image-2023-03-02_garching-0277_1677756428819032886.png,val/label-2023-03-02_garching-0277_1677756428819032886.png,2023-03-02_garching,val
2023-03-02_garching-0126_1677755087750843351,train/image-2023-03-02_garching-0126_1677755087750843351.png,train/label-2023-03-02_garching-0126_1677755087750843351.png,2023-03-02_garching,train
2023-03-02_garching-0129_1677755104299359117,train/image-2023-03-02_garching-0129_1677755104299359117.png,train/label-2023-03-02_garching-0129_1677755104299359117.png,2023-03-02_garching,train
2023-03-02_garching-0350_1677756926150694037,val/image-2023-03-02_garching-0350_1677756926150694037.png,val/label-2023-03-02_garching-0350_1677756926150694037.png,2023-03-02_garching,val
2023-03-02_garching-0356_1677756969422864597,val/image-2023-03-02_garching-0356_1677756969422864597.png,val/label-2023-03-02_garching-0356_1677756969422864597.png,2023-03-02_garching,val
2023-03-02_garching-0007_1677754229010282454,train/image-2023-03-02_garching-0007_1677754229010282454.png,train/label-2023-03-02_garching-0007_1677754229010282454.png,2023-03-02_garching,train
2023-03-02_garching-0332_1677756798429791437,val/image-2023-03-02_garching-0332_1677756798429791437.png,val/label-2023-03-02_garching-0332_1677756798429791437.png,2023-03-02_garching,val
2023-03-02_garching-0187_1677755828196304055,train/image-2023-03-02_garching-0187_1677755828196304055.png,train/label-2023-03-02_garching-0187_1677755828196304055.png,2023-03-02_garching,train
2023-03-02_garching-0359_1677756986372404200,val/image-2023-03-02_garching-0359_1677756986372404200.png,val/label-2023-03-02_garching-0359_1677756986372404200.png,2023-03-02_garching,val
2023-03-02_garching-0271_1677756396015782617,val/image-2023-03-02_garching-0271_1677756396015782617.png,val/label-2023-03-02_garching-0271_1677756396015782617.png,2023-03-02_garching,val
2023-03-02_garching-0358_1677756975903286213,val/image-2023-03-02_garching-0358_1677756975903286213.png,val/label-2023-03-02_garching-0358_1677756975903286213.png,2023-03-02_garching,val
2023-03-02_garching-0288_1677756509281836649,val/image-2023-03-02_garching-0288_1677756509281836649.png,val/label-2023-03-02_garching-0288_1677756509281836649.png,2023-03-02_garching,val
2023-03-02_garching-0140_1677755329210100097,train/image-2023-03-02_garching-0140_1677755329210100097.png,train/label-2023-03-02_garching-0140_1677755329210100097.png,2023-03-02_garching,train
